Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,40,RL,90.8,3771,Pave,,Reg,Lvl,NoSeWa,CulDSac,Sev,CollgCr,RRNe,Artery,Twnhs,SLvl,1,9,1991,2002,Mansard,Roll,MetalSd,MetalSd,,0.0,Po,Po,PConc,Ex,TA,Mn,ALQ,,,333.3,364.4,943.1,Grav,TA,Y,SBrkr,958.5,0.0,4.7,990.7,0,1,0,1,4,0,TA,13,Min1,3,Ex,Detchd,2015.0,RFn,2,269.9,TA,TA,Y,83.6,12.7,12.8,4.8,70.1,0.0,,,0.0,11,2007,WD,Family,373815.0
12,70,RL,71.7,5107,Pave,,Reg,Bnk,ELO,Corner,Mod,Somerst,Feedr,RRAe,Duplex,SLvl,8,6,1951,1967,Gable,Metal,VinylSd,VinylSd,,0.0,TA,Ex,CBlock,TA,Gd,Av,Unf,317.0,,135.5,335.3,787.8,Grav,Po,Y,SBrkr,1333.7,954.6,0.0,2369.4,1,0,0,1,0,2,TA,8,Maj2,2,TA,Attchd,1960.0,RFn,3,388.9,TA,Gd,Y,0.3,54.3,14.9,22.6,38.4,0.0,,,0.0,5,2011,WD,Abnorml,1737878.0
13,90,RL,61.3,4914,Pave,,IR1,Bnk,AllPub,CulDSac,Sev,Blmngtn,PosA,Feedr,2fmCon,2.5Fin,9,3,1929,1949,Gable,ClyTile,Wd Sdng,Wd Sdng,BrkFace,19.3,Gd,Po,BrkTil,Gd,Ex,Mn,ALQ,72.9,BLQ,174.0,318.4,565.3,Wall,Ex,N,SBrkr,922.0,0.0,0.4,984.7,1,0,3,0,5,2,Po,2,Sev,3,,Attchd,1930.0,RFn,2,421.4,Ex,TA,Y,48.0,30.6,26.1,4.5,25.9,0.0,GdPrv,,0.0,6,2009,WD,Alloca,799732.0
14,90,RL,71.4,3390,Pave,,Reg,Lvl,ELO,Inside,Gtl,BrkSide,PosN,RRNe,TwnhsE,1.5Fin,3,7,2006,2026,Flat,Metal,Wd Sdng,Wd Sdng,BrkFace,110.1,TA,Fa,Slab,TA,TA,,Unf,208.3,,56.7,216.8,481.8,OthW,Gd,Y,SBrkr,995.9,486.5,34.9,1511.6,0,1,2,1,5,2,Ex,6,Maj1,0,Ex,Attchd,2020.0,RFn,0,0.0,Gd,Gd,Y,202.7,5.9,33.7,66.5,68.2,0.0,,Gar2,489.2,3,2011,WD,Normal,742273.0
15,75,C (all),64.1,9767,Pave,,Reg,Bnk,AllPub,FR3,Sev,Somerst,PosN,RRNn,TwnhsE,SFoyer,7,5,1984,1986,Gambrel,Membran,BrkFace,BrkFace,,0.0,TA,Po,Slab,Gd,Gd,Mn,,503.0,ALQ,36.8,39.8,579.6,Grav,Po,Y,SBrkr,1005.0,950.8,2.9,1975.8,2,0,1,0,4,1,Po,14,Min1,0,TA,Attchd,2013.0,RFn,1,250.7,,,Y,17.4,2.7,14.0,12.9,23.2,0.0,GdWo,,0.0,11,2006,WD,AdjLand,1347180.0
16,50,RL,72.3,1166,Pave,Grvl,Reg,Lvl,NoSeWa,FR3,Sev,IDOTRR,PosA,Artery,TwnhsE,2.5Fin,5,8,1902,1929,Gable,CompShg,AsbShng,AsbShng,,0.0,Gd,Fa,PConc,Fa,,Gd,GLQ,325.5,,113.2,363.0,801.7,GasW,Ex,Y,SBrkr,801.7,552.2,8.1,1399.7,2,0,2,1,4,1,Ex,11,Typ,2,TA,Attchd,1914.0,RFn,2,319.2,Gd,TA,Y,2.0,31.8,60.1,3.7,33.4,0.0,MnPrv,Gar2,176.7,5,2008,WD,Partial,836692.0
17,45,RL,85.2,3933,Pave,,Reg,Lvl,AllPub,Corner,Gtl,MeadowV,PosN,PosA,1Fam,2.5Unf,3,8,1918,1942,Flat,Tar&Grv,VinylSd,VinylSd,,,TA,Fa,BrkTil,TA,Gd,Mn,Unf,554.1,,36.7,208.6,799.4,GasA,TA,Y,SBrkr,842.3,0.0,23.2,901.6,1,1,0,0,2,0,TA,10,Sal,0,,,,RFn,0,0.0,,Ex,Y,29.4,6.5,125.5,19.6,43.7,0.0,MnPrv,,0.0,5,2010,WD,Normal,485331.0
18,75,RL,68.3,5011,Pave,Grvl,Reg,Low,AllPub,FR3,Gtl,NoRidge,Feedr,RRAe,1Fam,1.5Fin,5,9,1873,1878,Hip,Roll,Stucco,Stucco,BrkFace,,TA,Fa,PConc,Ex,TA,,Unf,,,45.0,153.7,571.7,Wall,TA,Y,SBrkr,867.9,0.0,36.8,887.5,2,1,2,1,1,2,TA,10,Min1,3,,Attchd,1899.0,Fin,2,156.4,Gd,Gd,Y,50.5,76.5,78.4,18.2,20.2,0.0,,Shed,534.8,11,2008,Con,Abnorml,554294.0
19,75,RM,62.6,2334,Pave,,Reg,Low,ELO,Corner,Sev,Gilbert,RRAn,RRAn,2fmCon,1Story,10,6,1992,2021,Gambrel,Metal,VinylSd,VinylSd,,0.0,Fa,Po,BrkTil,TA,,,ALQ,82.2,BLQ,96.3,267.3,445.8,GasA,Gd,Y,SBrkr,1087.9,0.0,4.3,1102.2,2,0,1,0,3,2,Po,13,Maj1,0,TA,Attchd,2008.0,RFn,2,403.5,Gd,Ex,Y,20.3,75.1,5.7,2.7,13.0,0.0,,,0.0,11,2011,WD,Family,965400.0
20,40,RL,47.5,7825,Pave,,Reg,Bnk,AllPub,FR2,Sev,BrkSide,Artery,RRAe,Duplex,1.5Fin,7,4,1885,1916,Gable,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,40.9,Po,Fa,CBlock,Gd,TA,,Rec,184.8,,1.3,233.6,419.7,Wall,Ex,Y,SBrkr,626.1,489.0,30.2,1145.2,0,1,3,0,5,2,Fa,7,Min1,0,Gd,BuiltIn,1907.0,RFn,0,0.0,Ex,Gd,Y,45.3,21.2,36.7,3.4,10.0,0.0,,,0.0,8,2006,WD,Normal,830221.0
21,60,RM,81.6,4730,Pave,,IR1,Low,NoSeWa,Inside,Mod,NAmes,RRNe,RRNe,2fmCon,1.5Fin,7,2,1895,1916,Gable,Tar&Grv,HdBoard,HdBoard,,0.0,Ex,Fa,Stone,Ex,TA,No,ALQ,,,72.0,39.6,461.3,Wall,Fa,N,SBrkr,748.0,0.0,41.6,788.0,0,0,2,0,4,1,TA,9,Typ,3,Gd,Attchd,1917.0,,2,374.9,TA,TA,Y,157.9,21.8,19.9,2.5,2.2,0.0,MnPrv,Shed,538.7,5,2009,WD,Abnorml,578987.0
22,50,RL,77.0,4307,Pave,,Reg,Low,NoSeWa,CulDSac,Gtl,BrDale,RRNn,PosA,Duplex,2.5Unf,9,3,1939,1976,Shed,Membran,Stucco,Stucco,,0.0,Po,TA,PConc,Gd,Ex,Av,,75.5,,58.0,151.9,285.4,Grav,Po,Y,SBrkr,1006.9,455.7,2.8,1511.4,1,1,2,1,5,0,Ex,5,Sal,3,,BuiltIn,1943.0,Fin,2,463.1,TA,TA,P,137.1,21.7,14.3,25.5,0.1,0.0,GdPrv,,0.0,11,2010,WD,AdjLand,1186040.0
23,30,RM,46.4,5727,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,ClearCr,Feedr,RRAe,Twnhs,SLvl,8,5,1906,1919,Gable,ClyTile,VinylSd,VinylSd,BrkFace,11.2,TA,Gd,Slab,,Gd,Gd,,49.5,ALQ,146.7,85.6,281.8,GasA,Ex,Y,SBrkr,577.1,1072.6,6.3,1679.6,1,1,1,0,2,1,Gd,10,Sal,1,,Attchd,1919.0,RFn,4,751.5,Ex,Ex,Y,76.7,49.8,24.4,15.8,46.9,0.0,,,0.0,1,2011,WD,Normal,1229503.0
24,75,RM,86.7,4338,Pave,,Reg,HLS,AllPub,CulDSac,Mod,Timber,Norm,RRNn,TwnhsE,2.5Fin,4,8,1876,1909,Shed,Tar&Grv,MetalSd,MetalSd,,0.0,Gd,Fa,PConc,Fa,Fa,Mn,,61.6,,11.1,212.9,285.6,OthW,Fa,Y,SBrkr,934.1,67.4,48.7,1014.0,0,0,1,1,4,2,Gd,3,Sal,1,Gd,Attchd,1901.0,Fin,3,330.8,Po,TA,Y,72.4,39.2,31.1,68.0,17.9,0.0,,,0.0,1,2007,WD,Abnorml,528748.0
25,120,RL,46.0,6423,Pave,,Reg,Lvl,ELO,FR2,Sev,NAmes,RRAe,Feedr,TwnhsE,SFoyer,5,2,1899,1924,Flat,ClyTile,CmentBd,CmentBd,,0.0,Gd,Ex,BrkTil,Gd,Fa,Av,Rec,403.2,Unf,150.0,399.5,952.7,GasW,TA,Y,Mix,736.3,312.7,27.4,1063.2,2,0,0,1,1,1,Gd,3,Maj1,2,,Attchd,1908.0,Unf,1,194.7,Gd,TA,Y,67.2,71.6,49.8,5.3,19.1,0.0,,,0.0,1,2007,CWD,Partial,627615.0
26,180,RL,90.6,816,Pave,,Reg,Low,ELO,Inside,Sev,BrDale,RRAe,PosA,1Fam,2.5Fin,5,5,1943,1982,Shed,Metal,Plywood,Plywood,BrkFace,76.0,Ex,Ex,PConc,TA,Gd,Av,GLQ,226.8,GLQ,18.9,69.3,315.0,GasA,TA,Y,SBrkr,1051.6,143.3,5.2,1213.2,0,0,1,0,3,0,TA,8,Min1,2,Ex,Attchd,1957.0,,2,419.8,,Ex,P,13.5,50.9,4.8,55.6,14.3,0.0,GdPrv,,0.0,9,2009,VWD,Normal,716302.0
27,60,FV,83.8,991,Pave,,IR1,Lvl,NoSeWa,FR3,Gtl,Somerst,Feedr,Norm,Twnhs,1.5Fin,10,9,1990,2002,Hip,Roll,CmentBd,CmentBd,BrkFace,59.1,Ex,TA,CBlock,Ex,Gd,Av,GLQ,536.5,,89.7,219.3,845.5,Wall,Fa,Y,SBrkr,1312.1,0.0,18.0,1343.3,0,1,3,0,2,0,Fa,5,Min1,1,Gd,BuiltIn,1991.0,RFn,1,254.7,Gd,TA,Y,4.8,16.7,18.3,29.0,27.8,0.0,,,0.0,7,2008,WD,Partial,1133029.0
28,30,FV,78.4,6911,Pave,,Reg,Bnk,ELO,FR3,Mod,NAmes,PosA,RRNn,Twnhs,2Story,2,2,1875,1904,Gambrel,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,6.5,Ex,Po,BrkTil,TA,,,Unf,120.7,,146.4,300.3,567.4,GasW,Fa,Y,SBrkr,736.6,1052.5,15.9,1807.6,1,1,0,1,4,2,TA,12,Typ,3,Ex,Attchd,1898.0,RFn,0,0.0,Fa,Gd,Y,177.5,51.8,115.4,42.1,40.1,0.0,,,0.0,3,2006,WD,Partial,788369.0
29,120,RL,62.5,3830,Pave,,IR2,HLS,AllPub,Inside,Sev,BrkSide,Artery,PosN,Duplex,SLvl,7,8,1893,1911,Gable,Membran,BrkFace,BrkFace,,0.0,Gd,Po,Wood,TA,,Gd,GLQ,191.5,,19.3,322.5,533.3,Grav,Gd,Y,SBrkr,1127.3,744.0,27.2,1891.4,2,0,2,1,1,1,Ex,14,Mod,2,Ex,Attchd,1911.0,RFn,2,297.3,Fa,TA,Y,100.0,12.9,45.5,25.3,25.1,0.0,,,0.0,11,2008,New,Normal,1305836.0
30,50,RL,81.5,2294,Pave,,Reg,Low,NoSeWa,Inside,Gtl,Timber,PosA,RRAn,Twnhs,SLvl,7,3,1990,2028,Mansard,Roll,VinylSd,VinylSd,None,21.8,TA,Po,Slab,Gd,Gd,,Rec,273.9,LwQ,104.2,88.1,466.2,GasW,Ex,Y,SBrkr,960.2,0.0,31.0,992.7,1,1,0,1,0,2,TA,5,Mod,3,,Detchd,2018.0,RFn,1,300.3,Ex,Fa,Y,56.4,39.4,64.1,11.3,7.4,0.0,,,0.0,10,2007,Con,AdjLand,705507.0
31,20,FV,91.5,4693,Pave,,Reg,Low,ELO,CulDSac,Sev,Mitchel,PosA,RRNe,1Fam,1.5Unf,9,8,2012,2014,Gambrel,Roll,MetalSd,MetalSd,None,12.9,Ex,Fa,Slab,Po,Fa,Mn,Unf,629.5,,163.5,34.7,827.7,GasW,TA,Y,SBrkr,784.9,119.9,26.4,937.3,1,0,2,1,0,2,TA,3,Min2,1,,Attchd,2016.0,RFn,0,0.0,TA,,P,13.9,40.7,15.6,6.2,12.4,0.0,,,0.0,2,2011,CWD,Normal,749130.0
32,120,RL,81.8,3755,Pave,,IR2,Lvl,NoSeWa,FR3,Sev,SawyerW,Norm,RRNe,Duplex,1.5Fin,9,4,1954,1984,Mansard,Roll,AsbShng,AsbShng,BrkFace,67.4,Ex,Po,BrkTil,Gd,Fa,Gd,GLQ,306.9,,125.1,111.9,543.9,GasA,Po,Y,SBrkr,902.0,679.7,9.4,1635.5,0,1,1,0,1,0,TA,10,Typ,1,,Attchd,1959.0,Unf,3,,TA,TA,Y,89.0,88.3,77.6,27.3,59.7,0.0,GdPrv,,0.0,2,2009,WD,Partial,3220070.1237378553
33,85,RL,56.6,2147,Pave,,Reg,Lvl,AllPub,Inside,Sev,Crawfor,PosN,Artery,2fmCon,2.5Unf,4,4,2002,2013,Flat,Metal,HdBoard,HdBoard,BrkFace,19.7,Gd,Po,Wood,TA,TA,Av,GLQ,25.6,,29.1,378.6,433.3,Wall,TA,Y,FuseA,1289.4,151.2,28.1,1524.4,0,0,0,1,5,2,TA,3,Mod,2,Po,Attchd,2014.0,RFn,2,350.7,,,Y,79.4,54.5,31.4,19.4,30.6,0.0,,,0.0,6,2008,New,AdjLand,826523.0
34,60,FV,75.3,13468,Pave,,Reg,Lvl,ELO,FR3,Gtl,Veenker,RRAe,RRNe,Duplex,2Story,5,7,1958,1972,Gable,Membran,Stucco,Stucco,None,55.9,TA,Gd,CBlock,,Gd,Gd,Rec,24.9,GLQ,18.3,56.4,99.6,Wall,Ex,Y,SBrkr,848.5,616.5,35.0,1528.1,1,0,3,0,3,2,Ex,10,Sev,1,Ex,2Types,1979.0,RFn,2,165.8,TA,TA,P,92.2,82.4,53.0,11.8,24.3,0.0,MnPrv,,0.0,6,2010,WD,Partial,895119.0
35,160,RL,92.6,9812,Pave,,IR2,Lvl,AllPub,Inside,Mod,OldTown,RRNn,RRNe,2fmCon,1.5Fin,7,5,1905,1942,Gambrel,WdShake,AsbShng,AsbShng,,0.0,Ex,Fa,PConc,Gd,,,BLQ,539.6,ALQ,93.5,17.6,650.7,Wall,Fa,Y,SBrkr,1292.7,0.0,4.5,1319.7,0,1,0,0,4,0,TA,13,Sal,2,,Detchd,1912.0,RFn,3,523.9,Gd,TA,Y,68.9,49.7,27.0,60.1,55.5,0.0,GdPrv,,0.0,6,2008,ConLD,Normal,922336.0
36,120,RL,114.0,2542,Pave,,Reg,Low,AllPub,Corner,Mod,Sawyer,RRNn,Feedr,Duplex,2Story,10,4,1957,1996,Gambrel,CompShg,BrkFace,BrkFace,,0.0,TA,Fa,Stone,Fa,TA,No,BLQ,138.5,Unf,212.5,131.2,482.2,Floor,Gd,Y,SBrkr,864.0,0.0,19.2,886.3,0,1,3,1,4,1,Fa,6,Min1,0,,BuiltIn,1983.0,RFn,1,278.7,Gd,,P,75.6,27.1,42.1,24.2,7.1,0.0,MnWw,,0.0,2,2008,WD,Alloca,774975.0
37,80,RL,65.9,2568,Pave,,Reg,Lvl,NoSeWa,CulDSac,Sev,IDOTRR,Artery,RRAn,TwnhsE,SLvl,7,7,1914,1927,Gable,Tar&Grv,VinylSd,VinylSd,,0.0,Fa,Ex,Slab,TA,TA,No,BLQ,608.4,,51.4,53.6,713.4,Grav,TA,Y,SBrkr,476.3,611.3,22.8,1101.7,2,1,0,1,1,1,Po,6,Sev,3,,Attchd,1926.0,RFn,2,457.3,Gd,,Y,139.2,55.7,1.0,16.3,74.9,0.0,,,0.0,7,2008,Con,Family,752554.0
38,20,RL,87.2,2220,Pave,,IR3,Low,NoSeWa,Inside,Mod,BrkSide,RRAe,Feedr,2fmCon,2Story,10,3,1879,1913,Hip,Tar&Grv,CmentBd,CmentBd,None,36.6,Ex,Ex,CBlock,Gd,Gd,,Unf,430.8,,33.5,193.7,658.0,GasA,Gd,Y,SBrkr,856.0,870.9,19.7,1787.2,2,0,1,1,4,1,Ex,8,Typ,3,Gd,Attchd,1892.0,RFn,1,213.7,Gd,Fa,Y,70.4,47.2,93.2,11.3,30.1,0.0,GdWo,,0.0,11,2007,WD,Family,1473929.0
39,90,RL,92.7,2899,Pave,,Reg,Lvl,NoSeWa,FR2,Sev,Sawyer,Norm,Norm,1Fam,2.5Fin,8,9,1923,1938,Flat,Tar&Grv,Plywood,Plywood,BrkFace,2.5,Ex,Gd,CBlock,Fa,TA,No,,146.1,,87.0,412.2,645.3,Wall,Fa,Y,SBrkr,452.9,1310.2,4.9,1853.7,1,0,2,1,3,0,Fa,13,Min1,3,,Attchd,1938.0,RFn,2,442.1,TA,Fa,Y,189.2,11.9,0.7,3.9,19.0,0.0,GdPrv,,0.0,10,2006,ConLI,Alloca,1353283.0
40,90,RM,53.8,6097,Pave,,IR1,HLS,ELO,Inside,Gtl,NridgHt,Feedr,PosA,2fmCon,1.5Fin,8,5,1939,1962,Gable,ClyTile,Stucco,Stucco,None,89.6,Gd,TA,CBlock,Gd,TA,Av,LwQ,533.4,LwQ,13.6,19.4,566.4,GasW,Ex,Y,SBrkr,804.7,820.4,21.2,1631.4,2,1,0,1,1,2,Gd,6,Min1,0,Ex,,,Unf,0,0.0,TA,Fa,Y,76.4,40.4,17.9,8.0,38.9,0.0,MnPrv,,0.0,3,2009,ConLD,Family,1207842.0
41,190,RL,105.6,4121,Pave,,Reg,HLS,ELO,Corner,Gtl,BrkSide,PosA,RRAe,2fmCon,1Story,2,3,1954,1970,Shed,WdShake,Stucco,Stucco,BrkFace,103.8,Fa,Fa,PConc,TA,TA,Mn,GLQ,115.2,Unf,21.5,178.0,314.7,Floor,TA,Y,SBrkr,793.2,1511.2,23.7,2310.7,1,0,2,1,5,1,Gd,14,Min2,1,Gd,Attchd,1958.0,RFn,2,294.6,Ex,Fa,Y,58.8,3.9,26.4,5.5,44.3,0.0,,,0.0,1,2010,WD,AdjLand,990886.0
42,85,RL,48.7,2866,Pave,,IR1,Lvl,NoSeWa,FR2,Gtl,Edwards,PosA,RRAn,Duplex,1Story,9,2,1901,1918,Gambrel,Roll,AsbShng,AsbShng,None,81.3,Fa,Ex,CBlock,Gd,Gd,,ALQ,,Unf,52.7,198.8,262.0,Grav,Ex,Y,SBrkr,1445.1,680.4,7.8,2156.6,2,0,2,0,0,0,Ex,7,Maj2,1,Gd,BuiltIn,1923.0,RFn,3,762.7,TA,Gd,N,26.1,3.5,94.9,0.6,31.1,0.0,,Shed,269.7,3,2006,WD,Abnorml,1674191.0
43,120,RL,,3529,Pave,,Reg,Lvl,ELO,FR2,Sev,Mitchel,RRNe,RRAe,TwnhsE,2Story,4,7,1912,1928,Hip,Roll,AsbShng,AsbShng,None,64.0,Fa,Po,CBlock,TA,TA,,,126.7,,101.3,149.8,377.8,Wall,Po,Y,SBrkr,1382.8,0.0,24.7,1423.6,0,1,2,0,0,1,Po,4,Min2,0,Gd,Attchd,1932.0,RFn,1,204.0,Ex,Fa,Y,0.9,57.8,7.3,7.9,8.3,0.0,,,0.0,6,2007,WD,AdjLand,766810.0
44,120,RL,76.1,2887,Pave,,IR3,Bnk,ELO,Inside,Mod,BrkSide,RRNe,PosN,Duplex,2.5Unf,1,7,1987,2002,Gambrel,ClyTile,HdBoard,HdBoard,None,52.5,Po,Fa,BrkTil,Gd,,No,ALQ,453.7,,17.1,36.8,507.6,Floor,Ex,N,SBrkr,925.6,774.2,18.8,1719.4,0,1,0,1,2,1,TA,4,Maj1,0,,Attchd,1994.0,RFn,0,0.0,Fa,TA,Y,19.8,26.7,12.8,54.9,0.1,0.0,,,0.0,7,2007,WD,Abnorml,651147.0
